No,cell_line,barcode,editd positions,edit ratio
0,15,000000000000',0,0
1,16,100000000000',1,0.083333333
2,65,010000000000',1,0.083333333
3,66,001000000000',1,0.083333333
4,67,000100000000',1,0.083333333
5,68,000010000000',1,0.083333333
6,69,000001000000',1,0.083333333
7,70,000000100000',1,0.083333333
8,71,000000010000',1,0.083333333
9,72,000000001000',1,0.083333333
10,73,000000000100',1,0.083333333
11,74,000000000010',1,0.083333333
12,75,000000000001',1,0.083333333
13,17,110000000000',2,0.166666667
14,18,111000000000',3,0.25
15,19,111100000000',4,0.333333333
16,38,000000111001',4,0.333333333
17,20,111110000000',5,0.416666667
18,29,111000001001',5,0.416666667
19,21,111111000000',6,0.5
20,31,010010111100',6,0.5
21,34,001011011100',6,0.5
22,35,110010000111',6,0.5
23,22,111111100000',7,0.583333333
24,28,111101101000',7,0.583333333
25,36,010010110111',7,0.583333333
26,37,101000101111',7,0.583333333
27,23,111111110000',8,0.666666667
28,30,111001110101',8,0.666666667
29,32,111010011110',8,0.666666667
30,24,111111111000',9,0.75
31,33,110101111011',9,0.75
32,25,111111111100',10,0.833333333
33,26,111111111110',11,0.916666667
34,27,111111111111',12,1
