No,cell_line,recording time (Days),chasing  time (Days),restimulation (Days),Dox (ng/ml )
1,RM2_dWntRsg21_1,3,3,3,100
2,RM2_dWntRsg21_6,3,3,0,100
3,RM2_dWntRsg21_2,3,6,3,100
4,RM2_dWntRsg21_7,3,6,0,100
5,RM2_dWntRsg21_3,3,9,3,100
6,RM2_dWntRsg21_8,3,9,0,100
7,RM2_dWntRsg21_4,3,12,3,100
8,RM2_dWntRsg21_9,3,12,0,100
9,RM2_dWntRsg21_5,3,15,3,100
10,RM2_dWntRsg21_10,3,15,0,100
11,RM2_dWntRsg21_13,3,18,3,100
12,RM2_dWntRsg21_14,3,18,0,100
13,RM2_dWntRsg21_11,3,0,0,100
14,RM2_dWntRsg21_12,3,0,0,0
15,RM2_dWntRsg21_0,0,0,0,0
