cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
0,1,1,0,0,852.4384280909017,6.748100981436001,0,0.8154452173046097,0.02626339932340926,2.2774096118900484,0.3027026910255955,0.16642968058863297,38.87760473361057,2
0,1,2,0,0,347.8071820355352,5.851648251607883,0,0.7703316923398231,0.031552201849344604,3.5471743689876165,0.12933053983419693,0.07684307624713944,51.45579398360406,4
0,1,3,0,0,340.05914332784187,5.829119553446733,0,0.7888971896280275,0.00517004928321413,0.5861641692368927,0.13850696676564198,0.05819896043613416,37.58275407913951,5
0,1,4,0,0,344.7460658378423,5.842808104970422,0,0.7686010622026345,0.021289632552821434,2.477491533393195,0.12195344363328339,0.0394010910880046,28.89742689853632,5
0,1,5,0,0,344.62867872994195,5.84246754387514,0,0.7690320386204377,0.015762213847190225,1.8332334606725766,0.07652380240555505,0.03549634645300083,41.4889177624198,5
0,1,6,0,0,355.71172257821337,5.874120634774063,0,0.7778472657276454,0.011775860086318729,1.3110792356675864,0.11747047809492589,0.034421730954752504,25.376668191441105,4
0,1,7,0,0,359.3989707357495,5.884433110504928,0,0.814287445000393,0.04339217626598347,4.766270506471835,0.2898993367902915,0.2580676217220217,79.62167162590998,5
0,1,8,0,0,354.38527222875047,5.870384660950795,0,0.7615619767233235,0.01951629039019723,2.092408085360319,0.09405750528512553,0.03907081369321346,33.916682882315285,3
0,1,9,0,0,363.66747702630425,5.89623992546579,0,0.7614378028178763,0.02607049317195055,2.9651416428950514,0.10916538273985155,0.05516518957776505,43.76337478042726,4
0,1,10,0,0,354.9616363552224,5.872009717030792,0,0.7887245383856655,0.011779443008231751,1.3633544489563927,0.12870308830147528,0.07211894113246073,51.15283997576915,6
0,1,11,0,0,347.1971046770601,5.849892643687658,0,0.8714828061263913,0.0739898144480322,6.0034115609792265,0.6476425170510836,0.5303533220620728,57.90485037370158,2
0,1,12,0,0,357.38598188373936,5.8788163794707655,0,0.7632295294516833,0.013929724586123309,1.5805855111463083,0.07379123018843682,0.03979547104502176,46.70458642923863,4
0,1,13,0,0,393.250737269808,5.9744474167486015,0,0.7914551460999085,0.02100854163581229,2.3741851922903945,0.15814016018903843,0.09936251250311863,56.19858538313197,5
0,1,14,0,0,379.2014311509396,5.938067544505969,0,0.7919011478636558,0.024797261928812177,2.5567433051290918,0.19543187059144854,0.12192277237281172,50.93822541756202,3
0,1,15,0,0,373.2104276508495,5.922142409769469,0,0.7866838253669746,0.02926975563255373,3.2221778461670554,0.12312639810313394,0.09041177611811002,63.59228900204589,4
0,1,16,0,0,383.1205842806503,5.948349781092312,0,0.8038400855282909,0.015341222123899056,1.7070069604412466,0.23177612270678005,0.10690132098134222,41.25336429088744,5
0,1,17,0,0,383.22588565415646,5.948624595104772,0,0.8000755481187833,0.07396449703864764,8.439207934352211,0.2915418431783297,0.4569845059045322,143.09022196467447,6
0,1,18,0,0,373.16770229218446,5.922027922602716,0,0.7825962548791653,0.09085393799298097,10.053947721475662,0.4065169476978406,0.4057183259084785,86.4324055878724,4
0,1,19,0,0,348.2589649415693,5.852946355161508,0,0.7897353316012458,0.044909583630663,4.924794262234393,0.3023703224720919,0.3982890993853094,114.0748454736126,4
0,1,20,0,0,538.7939722919874,6.289333257190757,0,0.8235894585265041,0.019089114546342236,2.1158475928321954,0.32101738273954555,0.11457855916522099,32.58248350170565,6
0,1,21,0,0,376.8664820188165,5.9318909656175824,0,0.7819118535732478,0.04375527085687431,5.180828125978981,0.16856433826295586,0.20997318514062493,115.325339404352,7
0,1,22,0,0,350.9409358638744,5.86061793541413,0,0.7860420138920221,0.026506659775533056,3.0161590381703527,0.09964844927691335,0.05950802984385827,53.41337508150532,5
0,1,23,0,0,344.7206535446022,5.842734389176644,0,0.7840718476131985,0.009875843251649233,1.1265833310068984,0.10729161109035239,0.060475698579464686,50.41504051853318,5
0,1,24,0,0,421.7502915209062,6.044413412643163,0,0.7984892173118322,0.05550284987636847,5.675453866285815,0.24322114696878025,0.2995028934704226,100.54351422327206,3
0,1,25,0,0,470.9524710512374,6.154757178205347,0,0.8033412574732433,0.020740201455576802,2.309180557591586,0.1822806599426096,0.10962010640684007,53.78914245836701,5
0,1,26,0,0,365.0141477655513,5.899936113832814,0,0.7928902205817111,0.015724236308424008,1.7174619820905568,0.14880969941419134,0.05985055303260868,34.831129664820686,4
