bc_label,model_output,row_num,dist,abs_dist
12,0,row12344,12,12
12,0,row11057,12,12
12,0,row11373,12,12
12,0,row12305,12,12
12,0,row12314,12,12
12,0,row12351,12,12
11,0,row10678,11,11
12,1,row12094,11,11
12,1,row11504,11,11
12,1,row12060,11,11
1,12,row00646,-11,11
12,1,row12367,11,11
11,0,row10888,11,11
10,0,row08820,10,10
11,1,row09601,10,10
0,10,row00059,-10,10
2,12,row01091,-10,10
10,0,row08953,10,10
0,10,row00310,-10,10
0,10,row00086,-10,10
12,2,row11588,10,10
10,0,row09511,10,10
9,0,row18024,9,9
9,0,row18080,9,9
12,3,row11111,9,9
3,12,row02441,-9,9
9,0,row08560,9,9
3,12,row02329,-9,9
12,3,row11092,9,9
1,10,row00918,-9,9
9,0,row18011,9,9
11,2,row10463,9,9
9,0,row17812,9,9
9,0,row17883,9,9
9,0,row07734,9,9
9,0,row18355,9,9
9,0,row18186,9,9
11,2,row10771,9,9
9,0,row08645,9,9
12,3,row11825,9,9
0,9,row00098,-9,9
11,2,row09617,9,9
12,3,row11602,9,9
8,0,row07684,8,8
4,12,row23543,-8,8
4,12,row23681,-8,8
9,1,row08151,8,8
12,4,row11615,8,8
9,1,row08651,8,8
4,12,row02968,-8,8
8,0,row14682,8,8
9,1,row07906,8,8
10,2,row09028,8,8
8,0,row17471,8,8
4,12,row02485,-8,8
8,0,row07221,8,8
10,2,row09211,8,8
4,12,row23176,-8,8
4,12,row23370,-8,8
8,0,row16819,8,8
4,12,row02576,-8,8
8,0,row07025,8,8
8,0,row14707,8,8
4,12,row03188,-8,8
4,12,row23550,-8,8
4,12,row23398,-8,8
8,0,row17058,8,8
8,0,row13862,8,8
11,3,row09628,8,8
4,12,row23691,-8,8
4,12,row23232,-8,8
2,10,row01648,-8,8
4,12,row02648,-8,8
8,0,row16924,8,8
8,0,row16844,8,8
11,3,row09887,8,8
5,12,row03792,-7,7
7,0,row21132,7,7
7,0,row20676,7,7
7,0,row06213,7,7
8,1,row15085,7,7
11,4,row10336,7,7
9,2,row08362,7,7
5,12,row03439,-7,7
7,0,row22095,7,7
3,10,row02267,-7,7
7,0,row06716,7,7
7,0,row21024,7,7
2,9,row01355,-7,7
7,0,row20686,7,7
9,2,row07725,7,7
11,4,row10558,7,7
3,10,row02438,-7,7
8,1,row14224,7,7
8,1,row14102,7,7
4,11,row23177,-7,7
5,12,row13472,-7,7
7,0,row21822,7,7
2,9,row01376,-7,7
7,0,row21417,7,7
7,0,row22430,7,7
9,2,row18469,7,7
4,11,row03320,-7,7
11,4,row10339,7,7
7,0,row20778,7,7
7,0,row12474,7,7
7,0,row21693,7,7
2,9,row01371,-7,7
5,12,row03476,-7,7
7,0,row21725,7,7
7,0,row21172,7,7
4,10,row02694,-6,6
9,3,row17998,6,6
6,12,row16065,-6,6
8,2,row17601,6,6
6,12,row15392,-6,6
6,12,row20304,-6,6
6,12,row20194,-6,6
6,12,row16326,-6,6
7,1,row21796,6,6
2,8,row01124,-6,6
6,12,row04490,-6,6
4,10,row23706,-6,6
4,10,row02703,-6,6
6,12,row19137,-6,6
6,12,row16092,-6,6
3,9,row02432,-6,6
6,12,row05106,-6,6
6,12,row05483,-6,6
8,2,row17703,6,6
6,12,row16362,-6,6
7,1,row22829,6,6
7,1,row21028,6,6
6,12,row15718,-6,6
6,0,row05952,6,6
8,2,row17689,6,6
7,1,row21588,6,6
6,12,row16104,-6,6
6,12,row15980,-6,6
6,12,row16151,-6,6
6,12,row05307,-6,6
6,0,row05846,6,6
7,1,row22027,6,6
6,12,row15570,-6,6
6,0,row16084,6,6
6,12,row05494,-6,6
6,12,row15951,-6,6
6,12,row19135,-6,6
6,12,row15469,-6,6
6,12,row15437,-6,6
6,12,row19134,-6,6
6,12,row16118,-6,6
8,2,row14848,6,6
6,12,row15540,-6,6
5,11,row03857,-6,6
6,12,row16161,-6,6
6,12,row16057,-6,6
6,12,row15431,-6,6
6,12,row16074,-6,6
8,2,row14681,6,6
6,0,row16098,6,6
7,1,row21338,6,6
6,12,row20242,-6,6
6,12,row19139,-6,6
4,10,row02902,-6,6
6,0,row06026,6,6
6,12,row19643,-6,6
7,1,row06375,6,6
6,12,row15503,-6,6
6,12,row16099,-6,6
6,0,row06033,6,6
6,12,row15679,-6,6
4,10,row02929,-6,6
9,3,row08195,6,6
8,2,row17699,6,6
6,12,row15379,-6,6
10,4,row09385,6,6
6,12,row16324,-6,6
6,12,row15393,-6,6
4,10,row02569,-6,6
6,12,row18871,-6,6
10,4,row08789,6,6
6,0,row19647,6,6
8,2,row13796,6,6
6,12,row16364,-6,6
7,1,row06284,6,6
6,12,row16323,-6,6
6,12,row20319,-6,6
6,12,row19132,-6,6
6,12,row15886,-6,6
6,12,row04912,-6,6
6,12,row16146,-6,6
6,12,row04491,-6,6
4,10,row02672,-6,6
6,12,row19136,-6,6
6,0,row04857,6,6
6,12,row15870,-6,6
6,12,row15584,-6,6
3,9,row02377,-6,6
4,10,row23679,-6,6
6,12,row05806,-6,6
6,12,row15812,-6,6
6,12,row16102,-6,6
6,12,row15381,-6,6
6,12,row05955,-6,6
6,12,row20474,-6,6
12,6,row11919,6,6
7,1,row06280,6,6
6,12,row16015,-6,6
8,3,row17615,5,5
8,3,row17625,5,5
6,11,row15949,-5,5
7,12,row21525,-5,5
9,4,row08565,5,5
7,2,row06321,5,5
6,11,row05071,-5,5
6,11,row20526,-5,5
8,3,row17620,5,5
6,11,row19969,-5,5
8,3,row17574,5,5
7,12,row21853,-5,5
7,2,row06241,5,5
6,11,row04827,-5,5
7,12,row21982,-5,5
6,1,row16078,5,5
7,2,row06737,5,5
7,12,row06412,-5,5
7,2,row06474,5,5
9,4,row07752,5,5
7,12,row22429,-5,5
7,2,row06568,5,5
4,9,row23690,-5,5
7,12,row12498,-5,5
8,3,row07439,5,5
7,12,row12496,-5,5
7,12,row06736,-5,5
5,10,row04467,-5,5
7,12,row20902,-5,5
7,12,row12936,-5,5
7,2,row20864,5,5
4,9,row02687,-5,5
7,12,row06751,-5,5
9,4,row18470,5,5
7,2,row22259,5,5
12,7,row11505,5,5
7,2,row23069,5,5
7,12,row21147,-5,5
4,9,row02638,-5,5
7,2,row21031,5,5
6,11,row15585,-5,5
7,2,row21143,5,5
6,11,row05762,-5,5
7,12,row22612,-5,5
7,12,row21189,-5,5
6,1,row15813,5,5
7,2,row21543,5,5
8,3,row17561,5,5
7,2,row21919,5,5
6,1,row15686,5,5
6,11,row20501,-5,5
8,3,row17617,5,5
7,12,row21862,-5,5
7,2,row20898,5,5
5,10,row04180,-5,5
6,1,row19667,5,5
6,11,row15810,-5,5
7,12,row21037,-5,5
6,11,row16566,-5,5
6,11,row05553,-5,5
8,3,row17609,5,5
6,11,row19144,-5,5
9,4,row08509,5,5
9,4,row08475,5,5
4,9,row02740,-5,5
7,2,row23031,5,5
6,1,row20425,5,5
9,4,row07904,5,5
6,11,row20483,-5,5
8,3,row17632,5,5
6,11,row05716,-5,5
7,2,row23106,5,5
6,11,row04824,-5,5
7,2,row21033,5,5
7,12,row12494,-5,5
9,4,row18263,5,5
4,9,row02571,-5,5
4,9,row02487,-5,5
7,2,row06247,5,5
6,11,row15864,-5,5
5,0,row13479,5,5
7,2,row06325,5,5
5,0,row13098,5,5
8,3,row17598,5,5
6,11,row18934,-5,5
6,11,row05079,-5,5
7,12,row22945,-5,5
7,12,row21007,-5,5
11,6,row10442,5,5
5,10,row04163,-5,5
6,11,row18919,-5,5
7,12,row22946,-5,5
7,12,row06485,-5,5
6,11,row18965,-5,5
6,11,row19064,-5,5
8,3,row17649,5,5
6,11,row16221,-5,5
12,7,row11247,5,5
7,2,row06271,5,5
6,11,row16201,-5,5
7,12,row21903,-5,5
7,12,row21846,-5,5
5,0,row13208,5,5
7,12,row12603,-5,5
7,12,row21380,-5,5
6,1,row06031,5,5
7,12,row06482,-5,5
6,11,row04748,-5,5
8,3,row17798,5,5
6,11,row15673,-5,5
8,3,row17684,5,5
7,2,row06235,5,5
6,11,row20153,-5,5
8,3,row17648,5,5
5,10,row04035,-5,5
6,11,row05601,-5,5
7,12,row12667,-5,5
8,3,row17651,5,5
7,2,row06276,5,5
4,9,row03342,-5,5
7,12,row22522,-5,5
11,6,row10873,5,5
5,10,row13234,-5,5
6,11,row16620,-5,5
5,10,row13470,-5,5
8,3,row17618,5,5
4,9,row03317,-5,5
6,11,row19848,-5,5
7,2,row21364,5,5
6,11,row05840,-5,5
8,3,row17639,5,5
6,1,row04769,5,5
12,7,row11705,5,5
7,2,row21387,5,5
7,2,row22068,5,5
7,12,row21587,-5,5
7,12,row21847,-5,5
8,3,row17596,5,5
8,3,row17589,5,5
8,3,row06994,5,5
8,3,row17619,5,5
6,11,row15280,-5,5
6,11,row16016,-5,5
5,10,row03767,-5,5
9,4,row08551,5,5
7,12,row22770,-5,5
8,3,row17565,5,5
12,7,row11426,5,5
8,3,row17580,5,5
4,9,row23460,-5,5
7,11,row22988,-4,4
6,2,row15931,4,4
8,4,row07247,4,4
6,10,row05085,-4,4
5,1,row04285,4,4
6,2,row05215,4,4
8,4,row17713,4,4
6,2,row05141,4,4
7,11,row06624,-4,4
8,4,row07495,4,4
8,4,row17697,4,4
6,2,row05507,4,4
6,10,row05607,-4,4
8,12,row14687,-4,4
8,4,row17612,4,4
8,4,row17490,4,4
6,2,row19566,4,4
8,4,row07370,4,4
8,4,row17652,4,4
8,4,row17724,4,4
6,10,row04982,-4,4
8,4,row17718,4,4
7,11,row22599,-4,4
8,4,row17808,4,4
7,3,row22874,4,4
8,4,row17482,4,4
8,4,row17605,4,4
7,11,row21240,-4,4
4,8,row23198,-4,4
8,4,row17566,4,4
6,10,row05072,-4,4
11,7,row10303,4,4
6,10,row05606,-4,4
8,4,row17483,4,4
7,11,row21834,-4,4
8,4,row17577,4,4
8,4,row17557,4,4
5,9,row04149,-4,4
8,4,row17475,4,4
8,4,row14741,4,4
8,4,row17484,4,4
8,4,row17752,4,4
8,4,row17573,4,4
6,10,row20134,-4,4
4,8,row23241,-4,4
11,7,row10280,4,4
8,12,row17362,-4,4
8,4,row17736,4,4
8,4,row17746,4,4
8,4,row17582,4,4
7,11,row21324,-4,4
6,2,row16342,4,4
8,4,row17628,4,4
8,12,row15105,-4,4
8,4,row14710,4,4
6,10,row04985,-4,4
6,10,row19254,-4,4
6,2,row05728,4,4
8,4,row07553,4,4
8,4,row17268,4,4
8,4,row17547,4,4
8,4,row17761,4,4
8,4,row14450,4,4
8,4,row07123,4,4
7,3,row06480,4,4
8,4,row17534,4,4
8,4,row17748,4,4
8,4,row07372,4,4
11,7,row09688,4,4
8,4,row17795,4,4
6,10,row15509,-4,4
8,4,row07200,4,4
7,11,row12897,-4,4
8,4,row07545,4,4
7,11,row21784,-4,4
6,2,row15939,4,4
8,4,row17750,4,4
7,11,row21360,-4,4
7,11,row21870,-4,4
8,4,row14874,4,4
8,4,row17528,4,4
8,4,row17716,4,4
8,12,row14106,-4,4
6,10,row15942,-4,4
8,4,row13944,4,4
8,4,row07109,4,4
7,11,row22665,-4,4
8,4,row07572,4,4
11,7,row10299,4,4
7,3,row06226,4,4
5,9,row13321,-4,4
7,3,row21798,4,4
7,11,row06378,-4,4
8,4,row17666,4,4
7,11,row21558,-4,4
4,8,row03125,-4,4
8,4,row17570,4,4
6,10,row15936,-4,4
7,11,row06117,-4,4
6,2,row05936,4,4
6,10,row16293,-4,4
7,11,row12392,-4,4
8,4,row17664,4,4
8,4,row17549,4,4
6,2,row19235,4,4
6,2,row20169,4,4
7,11,row20594,-4,4
8,4,row17548,4,4
8,12,row07310,-4,4
8,4,row07130,4,4
6,2,row15972,4,4
8,4,row14546,4,4
7,3,row06634,4,4
8,4,row14421,4,4
8,4,row17662,4,4
8,4,row17607,4,4
4,8,row23324,-4,4
8,4,row17217,4,4
8,4,row17533,4,4
8,4,row17480,4,4
8,12,row17640,-4,4
6,10,row05947,-4,4
6,2,row06065,4,4
8,4,row17539,4,4
8,4,row17555,4,4
8,4,row07559,4,4
8,12,row07436,-4,4
6,10,row19414,-4,4
8,4,row07604,4,4
8,12,row07633,-4,4
12,8,row11146,4,4
6,10,row05002,-4,4
8,4,row17784,4,4
7,11,row21852,-4,4
7,3,row06702,4,4
8,4,row14598,4,4
4,8,row23404,-4,4
7,11,row22840,-4,4
8,4,row17768,4,4
8,4,row14435,4,4
8,4,row17765,4,4
6,2,row15231,4,4
7,3,row06308,4,4
6,10,row05604,-4,4
6,10,row05519,-4,4
8,4,row17799,4,4
8,4,row07583,4,4
8,4,row17717,4,4
6,10,row19365,-4,4
6,10,row20507,-4,4
8,4,row07441,4,4
8,4,row07366,4,4
8,4,row14531,4,4
7,3,row20903,4,4
6,10,row05559,-4,4
6,10,row04900,-4,4
5,9,row04033,-4,4
7,3,row20877,4,4
7,11,row22495,-4,4
8,4,row17470,4,4
9,5,row18453,4,4
7,11,row22064,-4,4
7,11,row20586,-4,4
7,3,row22253,4,4
7,11,row21384,-4,4
8,4,row07587,4,4
8,12,row14868,-4,4
4,0,row02999,4,4
6,2,row06048,4,4
8,12,row14938,-4,4
4,8,row23587,-4,4
6,10,row19361,-4,4
7,3,row06484,4,4
8,12,row07683,-4,4
8,4,row17554,4,4
8,4,row17794,4,4
8,4,row14449,4,4
8,4,row17760,4,4
8,4,row17797,4,4
7,11,row06694,-4,4
8,12,row07306,-4,4
7,11,row06558,-4,4
7,3,row06722,4,4
7,11,row22625,-4,4
5,9,row03446,-4,4
8,4,row17805,4,4
8,12,row17409,-4,4
11,7,row10304,4,4
8,4,row07091,4,4
6,10,row15530,-4,4
6,2,row18954,4,4
8,4,row17622,4,4
8,4,row07582,4,4
7,11,row21801,-4,4
8,4,row17641,4,4
7,11,row21902,-4,4
8,4,row17527,4,4
11,7,row09689,4,4
8,4,row17710,4,4
6,2,row16379,4,4
6,10,row05802,-4,4
6,10,row05093,-4,4
7,3,row06368,4,4
7,3,row06298,4,4
11,7,row09712,4,4
8,4,row17647,4,4
8,4,row17215,4,4
8,4,row17546,4,4
8,4,row17531,4,4
8,4,row17608,4,4
8,12,row07309,-4,4
7,3,row23124,4,4
8,4,row17802,4,4
4,0,row23710,4,4
8,4,row17562,4,4
6,10,row04954,-4,4
11,7,row09690,4,4
7,11,row21223,-4,4
6,2,row06066,4,4
7,11,row22504,-4,4
6,10,row19941,-4,4
7,11,row21849,-4,4
8,4,row14527,4,4
6,10,row16329,-4,4
8,4,row17642,4,4
6,10,row18708,-4,4
8,12,row17068,-4,4
8,4,row17715,4,4
7,11,row21824,-4,4
8,4,row17667,4,4
8,4,row17568,4,4
8,12,row13791,-4,4
8,4,row17778,4,4
8,4,row07164,4,4
8,4,row17756,4,4
7,11,row22696,-4,4
8,4,row17747,4,4
8,4,row17063,4,4
8,4,row17621,4,4
8,4,row17530,4,4
6,10,row15620,-4,4
0,4,row00220,-4,4
6,10,row05758,-4,4
8,4,row17453,4,4
8,4,row07364,4,4
8,4,row17552,4,4
11,7,row09692,4,4
8,4,row17709,4,4
8,4,row17694,4,4
8,4,row17411,4,4
8,4,row17767,4,4
8,4,row07132,4,4
6,10,row15833,-4,4
8,4,row17745,4,4
7,11,row20826,-4,4
8,4,row14495,4,4
6,10,row04745,-4,4
11,7,row09695,4,4
5,9,row04357,-4,4
4,8,row23430,-4,4
6,10,row20321,-4,4
7,11,row06374,-4,4
6,10,row15268,-4,4
7,11,row21346,-4,4
6,10,row19870,-4,4
8,4,row17782,4,4
