No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,CHIR(uM)
1,4,1,1,5.988537594,0.617298407,0.016992513,2.462109973,-6.499280568,0.136091725,-1.872886364,0.154336761,0.105885671,61.36387904,5,0
1,4,1,2,5.972711323,0.604572891,0.073365071,11.51229552,-6.197088165,1.186031175,-18.1563976,0.332780302,0.159934079,45.5936811,10,0
1,4,1,3,5.925541265,0.637903321,0.087665647,13.03754537,-6.024265232,1.558720296,-24.54626173,0.242946617,0.155402334,60.68312473,10,0
1,4,1,4,5.972793539,0.587954328,0.082947988,13.30105234,-6.55130973,1.201753048,-17.29461263,0.319777898,0.190398501,56.1356585,9,0
1,4,1,5,6.057954975,0.646884487,0.084561048,12.10236442,-6.038350975,1.455231177,-22.3120895,0.240316548,0.236355816,91.05613705,7,0
1,4,1,6,5.993054597,0.626973788,0.126670646,18.89864326,-6.006849415,1.877897361,-29.24348543,0.316303119,0.128646705,38.04514278,8,0
1,4,1,7,5.993237899,0.654045336,0.078020998,11.04409798,-5.493883699,1.15754133,-19.50669304,0.373550898,0.141947912,35.18080963,7,0
1,4,1,8,5.993196896,0.645619654,0.06374002,9.235054863,-5.84849371,1.081095174,-17.29115198,0.233998842,0.10806704,43.19998287,8,0
1,4,1,9,6.055292673,0.655488418,0.079599367,11.24271482,-5.901463588,1.307322045,-20.50923484,0.189438101,0.117519051,57.43379985,7,0
1,4,1,10,6.02890829,0.634809244,0.092620807,13.84160893,-6.119164589,1.519505455,-23.55761846,0.210859836,0.118269472,53.2108316,10,0
1,4,1,11,6.032237136,0.633323744,0.083204659,11.99309445,-6.158442853,1.328802478,-19.69694583,0.179536273,0.141214554,71.80201453,6,0
1,4,1,12,6.076121666,0.604922112,0.09493169,14.32587401,-6.639515568,1.701500683,-23.3940337,0.2606003,0.168501778,59.02540209,6,0
1,4,1,13,6.045619072,0.633162714,0.06905162,10.2014656,-5.890973102,1.147331085,-18.2182118,0.226670029,0.204735222,84.48945136,8,0
1,4,1,14,6.012488011,0.645589947,0.094346925,13.07121576,-5.778774855,1.731155465,-26.79447735,0.33073527,0.211965783,57.32317568,5,0
1,4,1,15,6.038298372,0.616737507,0.088837377,13.47408841,-6.087863047,1.521278334,-23.37479618,0.303121396,0.241168793,74.42323505,8,0
1,4,1,16,6.096136679,0.650184404,0.104448993,13.91228097,-6.048171956,1.809274126,-25.90662711,0.141913861,0.120485095,73.52569536,4,0
1,4,1,17,6.051882344,0.635596798,0.085866897,12.50750464,-6.220631335,1.445979435,-21.52059417,0.182592143,0.161749732,82.01401797,7,0
1,4,1,18,6.08697578,0.629563058,0.078650883,11.40443418,-6.162487781,1.422598512,-21.07345072,0.242256397,0.177651632,66.9427154,6,0
1,4,1,19,6.056428882,0.660572701,0.079551729,10.77144567,-5.710689258,1.524231269,-23.87301831,0.2666823,0.223610064,74.99669899,5,0
1,4,1,20,6.09794098,0.614243858,0.114422979,17.76135463,-6.362064985,1.762169729,-26.40908127,0.323307118,0.268386212,79.14957579,11,0
1,4,1,21,6.122671649,0.635407957,0.074022966,10.78550389,-6.120141115,1.229326434,-18.59655032,0.171368001,0.201432807,108.8246003,7,0
1,4,1,22,6.035933082,0.579145348,0.016613651,2.028441675,-6.890734226,0.31117743,-3.193210824,0.221895491,0.051970734,16.56133627,2,0
1,4,1,23,5.9131133,0.562459269,,0,-6.802663227,,0,0.4717825,,0,1,0
1,4,1,24,6.055723785,0.673953717,0.078520433,10.42071706,-5.716605942,1.457668541,-22.80686112,0.159613699,0.135226382,75.77679964,5,0
1,4,1,25,6.078165794,0.580660702,0.036260919,5.70066792,-6.808312737,0.359720792,-4.823201666,0.187572967,0.096395687,46.91338094,6,0
